Borough,Neighborhood,Latitude,Longitude
Mundhwa - Magarpatta City,Amanora Park Town,18.521754,73.940587
Dhankawadi - Ambegaon Pathar,Ambegaon Pathar,18.458489,73.842559
Vadgaon Dhayari - Suncity,Anand Nagar,18.474473,73.822394
Pune Vidyapeeth - Wakdewadi,Ashok Nagar,18.550072,73.839188
Kharadi- Chandannagar,Ashoka Nagar,18.559982,73.94265
Aundh - Bopodi,Aundh,18.559488,73.803733
Mundhwa - Magarpatta City,B.T Kawade Road,18.518254,73.906662
Baner - Balewadi - Pashan,Balewadi,18.578653,73.770933
Baner - Balewadi - Pashan,Balewadi Gaon,18.576415,73.778786
Baner - Balewadi - Pashan,Balewadi Phata,18.56909,73.783903
Baner - Balewadi - Pashan,Balewadi Stadium,18.574,73.761866
Baner - Balewadi - Pashan,Baner,18.563657,73.786372
Bavdhan - Kothrud Depot,Bavdhan,18.512776,73.770076
Pune Vidyapeeth - Wakdewadi,Bhosale Nagar,18.546315,73.835673
Bavdhan - Kothrud Depot,Bhugaon,18.5012,73.750781
Bavdhan - Kothrud Depot,Bhusari Colony,18.508276,73.790362
Market yard - Lower Indira nagar,Bibwewadi,18.46944,73.863888
Koregaon Park - Ghorpadi,Boat Club Road,18.539758,73.879033
Koregaon Park - Ghorpadi,Camp,18.513746,73.885949
Mayur Colony - Dahanukar Colony,Dahanukar Colony,18.496533,73.810898
Janta Wasahat - Dattawadi,Dattwadi,18.496318,73.838303
Dhankawadi - Ambegaon Pathar,Dhankawadi,18.468335,73.853993
Kalas - Dhanori,Dhanori,18.596941,73.896936
Vadgaon Dhayari - Suncity,Dhayari,18.447465,73.81024
Kharadi- Chandannagar,EON Free Zone,18.555216,73.951952
Erandwana - Happy Colony,Erandwane,18.509017,73.831289
Wanowrie,Fatima Nagar,18.505268,73.905136
Koregaon Park - Ghorpadi,Ghorpadi,18.523675,73.906348
Salisbury Park - Maharshi Nagar,Gultekdi,18.48802,73.870308
Hadapsar Gaothan - Satavwadi,Hadapsar,18.509623,73.925513
Hadapsar Gaothan - Satavwadi,Handewadi,18.454497,73.931395
Hadapsar Gaothan - Satavwadi,Kale Padal,18.487131,73.943193
Vadgaon Sheri - Kalyaninagar,Kalyani Nagar,18.546784,73.904057
Karvenagar,Karve Nagar,18.493842,73.821649
Ambegaon - Dattanagar - Katraj Gaothan,Katraj,18.455969,73.86474
Mundhwa - Magarpatta City,Keshav Nagar,18.532576,73.944201
Kharadi- Chandannagar,Kharadi,18.554264,73.947603
Vadgaon Dhayari - Suncity,Kirkitwadi,18.444752,73.788902
Kondhwa Budruk - Yewalewadi,Kondhwa,18.469971,73.889076
Koregaon Park - Ghorpadi,Koregaon Park,18.53695,73.893993
Bavdhan - Kothrud Depot,Kothrud,18.507869,73.807406
Baner - Balewadi - Pashan,Balewadi Gaon,18.575258,73.779106
Deccan Gymkhana - Model Colony,Law College Road,18.514377,73.82873
Vimannagar- Somnath Nagar,Lohgaon,18.595178,73.927356
Mundhwa - Magarpatta City,Magarpatta City,18.516476,73.927212
Baner - Balewadi - Pashan,Mahalunge,18.57413,73.756101
Hadapsar Gaothan - Satavwadi,Manjri Budruk,18.525124,73.985374
Market yard - Lower Indira nagar,Market Yard,18.486992,73.8646
Mayur Colony - Dahanukar Colony,Mayur Colony,18.504533,73.816135
Deccan Gymkhana - Model Colony,Model Colony,18.533111,73.837412
Mohammadwadi - Kausarbag,Mohammed Wadi,18.475373,73.916397
Salisbury Park - Maharshi Nagar,Mukund Nagar,18.497778,73.860834
Mundhwa - Magarpatta City,Mundhwa,18.533351,73.93296
Dhankawadi - Ambegaon Pathar,Narhe,18.447292,73.826442
Vadgaon Sheri - Kalyaninagar,New Kalyani Nagar,18.542604,73.922355
Mohammadwadi - Kausarbag,NIBM Road,18.470293,73.90018
Baner - Balewadi - Pashan,Pashan,18.542106,73.792615
Baner - Balewadi - Pashan,Patil Nagar-Balewadi,18.583983,73.763728
Bavdhan - Kothrud Depot,Patil Nagar-Bavdhan,18.522971,73.772906
Deccan Gymkhana - Model Colony,Prabhat Road,18.514066,73.835292
Vadgaon Budruk - Hingne Khurd,Raghav Nagar-Vadgaon Budruk,18.460905,73.839557
Kharadi- Chandannagar,Rakshak Nagar,18.55319,73.944147
Rambaug Colony - Shivteerth Nagar,Rambaug Colony,18.516426,73.816947
Peth Area,Sadashiv Peth,18.508921,73.843873
Salisbury Park - Maharshi Nagar,Salisbury Park,18.494629,73.875444
Mohammadwadi - Kausarbag,Salunkhe Vihar,18.481123,73.904362
Mundhwa - Magarpatta City,Sasane Colony,18.532857,73.940579
Hadapsar Gaothan - Satavwadi,Sasane Nagar,18.492217,73.93461
Pune Vidyapeeth - Wakdewadi,Shivaji Nagar,18.531993,73.844574
Warje Malwadi,Shivane,18.466348,73.782188
Ambegaon - Dattanagar - Katraj Gaothan,Sopan Baug,18.514921,73.903944
Upper Super Indira Nagar,Sukhsagar Nagar,18.459098,73.869697
Kharadi- Chandannagar,Thite Nagar,18.544434,73.940358
Vimannagar- Somnath Nagar,Tingre Nagar,18.575934,73.893231
Koregaon Park - Ghorpadi,Uday Baug,18.511996,73.905939
Kondhwa Budruk - Yewalewadi,Undri,18.457107,73.909594
Vadgaon Budruk - Hingne Khurd,Vadgaon Budruk,18.466578,73.82461
Vimannagar- Somnath Nagar,Viman Nagar,18.466578,73.82461
Kalas - Dhanori,Vishrantwadi,18.575519,73.877903
Vadgaon Sheri - Kalyaninagar,Wadgaon Sheri,18.560179,73.920994
Wanowrie,Wanowrie,18.485195,73.90237
Warje Malwadi,Warje,18.487001,73.796896
Yerawada,Yerawada,18.553165,73.879709
Kondhwa Budruk - Yewalewadi,Yewale Wadi,18.437834,73.896161
