Borough,Neighbourhood,Average Price (Rs./Sq-ft)
Mundhwa - Magarpatta City,Amanora Park Town,8163
Dhankawadi - Ambegaon Pathar,Ambegaon Pathar,4609
Vadgaon Dhayari - Suncity,Anand Nagar,6338
Pune Vidyapeeth - Wakdewadi,Ashok Nagar,12126
Kharadi- Chandannagar,Ashoka Nagar,6768
Aundh - Bopodi,Aundh,9205
Mundhwa - Magarpatta City,B.T Kawade Road,7443
Baner - Balewadi - Pashan,Balewadi,6959
Baner - Balewadi - Pashan,Balewadi Gaon,7084
Baner - Balewadi - Pashan,Balewadi Phata,7521
Baner - Balewadi - Pashan,Balewadi Stadium,6170
Baner - Balewadi - Pashan,Baner,7649
Bavdhan - Kothrud Depot,Bavdhan,6739
Pune Vidyapeeth - Wakdewadi,Bhosale Nagar,13018
Bavdhan - Kothrud Depot,Bhugaon,5778
Bavdhan - Kothrud Depot,Bhusari Colony,9734
Market yard - Lower Indira nagar,Bibwewadi,8181
Koregaon Park - Ghorpadi,Boat Club Road,13419
Koregaon Park - Ghorpadi,Camp,9213
Mayur Colony - Dahanukar Colony,Dahanukar Colony,11180
Janta Wasahat - Dattawadi,Dattwadi,6021
Dhankawadi - Ambegaon Pathar,Dhankawadi,5127
Kalas - Dhanori,Dhanori,5447
Vadgaon Dhayari - Suncity,Dhayari,4969
Kharadi- Chandannagar,EON Free Zone,6907
Erandwana - Happy Colony,Erandwane,12510
Wanowrie,Fatima Nagar,6560
Koregaon Park - Ghorpadi,Ghorpadi,9317
Salisbury Park - Maharshi Nagar,Gultekdi,9398
Hadapsar Gaothan - Satavwadi,Hadapsar,6677
Hadapsar Gaothan - Satavwadi,Handewadi,4362
Hadapsar Gaothan - Satavwadi,Kale Padal,4607
Vadgaon Sheri - Kalyaninagar,Kalyani Nagar,9804
Karvenagar,Karve Nagar,9480
Ambegaon - Dattanagar - Katraj Gaothan,Katraj,5605
Mundhwa - Magarpatta City,Keshav Nagar,6111
Kharadi- Chandannagar,Kharadi,6950
Vadgaon Dhayari - Suncity,Kirkitwadi,4446
Kondhwa Budruk - Yewalewadi,Kondhwa,5557
Koregaon Park - Ghorpadi,Koregaon Park,11052
Bavdhan - Kothrud Depot,Kothrud,10148
Baner - Balewadi - Pashan,Balewadi Gaon,7209
Deccan Gymkhana - Model Colony,Law College Road,15512
Vimannagar- Somnath Nagar,Lohgaon,5200
Mundhwa - Magarpatta City,Magarpatta City,8380
Baner - Balewadi - Pashan,Mahalunge,5898
Hadapsar Gaothan - Satavwadi,Manjri Budruk,5427
Market yard - Lower Indira nagar,Market Yard,8539
Mayur Colony - Dahanukar Colony,Mayur Colony,12212
Deccan Gymkhana - Model Colony,Model Colony,13489
Mohammadwadi - Kausarbag,Mohammed Wadi,5781
Salisbury Park - Maharshi Nagar,Mukund Nagar,12163
Mundhwa - Magarpatta City,Mundhwa,6161
Dhankawadi - Ambegaon Pathar,Narhe,4808
Vadgaon Sheri - Kalyaninagar,New Kalyani Nagar,8275
Mohammadwadi - Kausarbag,NIBM Road,5977
Baner - Balewadi - Pashan,Pashan,7090
Baner - Balewadi - Pashan,Patil Nagar-Balewadi,7132
Bavdhan - Kothrud Depot,Patil Nagar-Bavdhan,6649
Deccan Gymkhana - Model Colony,Prabhat Road,14909
Vadgaon Budruk - Hingne Khurd,Raghav Nagar-Vadgaon Budruk,4645
Kharadi- Chandannagar,Rakshak Nagar,6710
Rambaug Colony - Shivteerth Nagar,Rambaug Colony,11167
Peth Area,Sadashiv Peth,10193
Salisbury Park - Maharshi Nagar,Salisbury Park,10530
Mohammadwadi - Kausarbag,Salunkhe Vihar,6472
Mundhwa - Magarpatta City,Sasane Colony,5890
Hadapsar Gaothan - Satavwadi,Sasane Nagar,4853
Pune Vidyapeeth - Wakdewadi,Shivaji Nagar,13136
Warje Malwadi,Shivane,4397
Ambegaon - Dattanagar - Katraj Gaothan,Sopan Baug,10384
Upper Super Indira Nagar,Sukhsagar Nagar,5311
Kharadi- Chandannagar,Thite Nagar,6829
Vimannagar- Somnath Nagar,Tingre Nagar,5790
Koregaon Park - Ghorpadi,Uday Baug,8824
Kondhwa Budruk - Yewalewadi,Undri,5149
Vadgaon Budruk - Hingne Khurd,Vadgaon Budruk,5499
Vimannagar- Somnath Nagar,Viman Nagar,8319
Kalas - Dhanori,Vishrantwadi,6851
Vadgaon Sheri - Kalyaninagar,Wadgaon Sheri,6874
Wanowrie,Wanowrie,7741
Warje Malwadi,Warje,6846
Yerawada,Yerawada,7846
Kondhwa Budruk - Yewalewadi,Yewale Wadi,5010
